,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Added Fields that are greyed out and ,,,,,,,,,,,,,,,,,,,
CAN/US DESCRIPTION,CAN Supplier,CAD Manu/User CODES,,Notes,,Fields ,calculated for PFC viewing,,Netley Retail,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDWARE - SCREWS/CONNECTORS,,,,,,,,,,,,,,,,,,,,,,,,,,
Floating Shelf Rail -  8ft,Richelieu,S.1622410,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSET RODS,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOSET ROD,,,,,,,,,,,,,,,,,,,,,,,,,,
Closet Oval Rod Chrome (Custom Lengths),Hafele,H.801.13.201.CTS,,Add $3.00 Cut Charge for every Quantity,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,"113, 120",,,,,,all others,,,,,,,,,,,,
Closet Round Rod Chrome (Custom Lengths),Hafele,H.801.42.240.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Rod Chrome (Custom Lengths) (NEW),Hafele,CAN MFG,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Closet Round Rod Aluminum (Custom Lengths),Hafele,H.801.42.440.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Rod Aluminum (Custom Lengths) (NEW),Hafele,H.801.42.441.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Closet Round Rod Black (Custom Lengths),Hafele,H.801.43.340.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Rod Black (Custom Lengths) (NEW),Hafele,H.801.43.341.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Closet Round Rod Matt Gold (Custom Lengths),Hafele,H.801.42.040.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Rod Matt Gold (Custom Lengths) (NEW),Hafele,H.801.42.041.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Closet Round Rod Slate (Custom Lengths),Hafele,H.801.42.340.CTS,,,,Quantity x Length,Total costs per cut x Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Closet Round Rod Slate (Custom Lengths) (NEW),Hafele,H.801.42.341.CTS,,Add $3.00 Cut Charge for every Quantity,,,,,,,,,,,,,,,,,,,,,,
Oval Rod Chrome 8ft ,Hafele,H.801.13.201,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
Round Rod Chrome 8ft,Hafele,H.801.42.240,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Round Rod Chrome 92"" (NEW)",Hafele,H.801.42.241,,,,,,,,,,,,,,,,,,,,,,,,
Round Rod Matt-Aluminum 8ft,Hafele,H.801.42.440,,,,Quantity,Cost per piece/inch x Total Cost,,,,,,,,,,,,,,,,,,,
"Round Rod Matt-Aluminum 92"" (NEW)",Hafele,H.801.42.441,,,,,,,,,,,,,,,,,,,,,,,,
